Biter,victim,gen,U
695,690,1624,6
742,778,1640,7
109,105,1640,0
689,609,1641,6
704,110,1644,1
109,401,1645,1
801,876,1653,8
303,336,1662,3
695,672,1664,6
267,281,1673,2
607,667,1676,6
303,300,1677,3
690,671,1678,6
620,617,1678,6
801,899,1682,8
303,360,1684,3
779,786,1693,7
400,181,1694,1
778,751,1700,7
292,254,1708,2
401,476,1708,4
321,345,1709,3
789,782,1710,7
700,750,1710,7
305,328,1713,3
109,133,1715,1
2,201,1718,1
253,211,1718,2
801,600,1718,1
307,503,1719,1
401,405,1727,4
401,490,1728,4
400,444,1734,4
336,386,1736,3
672,625,1739,6
401,101,1740,1
745,763,1743,7
321,331,1745,3
789,732,1747,7
164,197,1758,1
695,623,1770,6
801,147,1770,1
600,647,1772,6
307,337,1783,3
695,626,1786,6
476,488,1787,4
490,435,1789,4
401,191,1791,1
609,175,1791,1
101,507,1794,1
617,675,1796,6
750,708,1796,7
801,879,1800,8
801,810,1802,8
401,410,1808,4
444,411,1809,4
360,351,1814,3
801,151,1815,1
490,453,1818,4
623,619,1819,6
300,367,1820,3
331,353,1823,3
405,432,1828,4
405,438,1833,4
181,196,1841,1
300,370,1845,3
690,684,1849,6
386,395,1859,3
626,687,1862,6
609,107,1865,1
626,637,1875,6
410,451,1875,4
328,320,1877,3
671,611,1878,6
405,452,1878,4
438,425,1883,4
410,487,1887,4
432,459,1887,4
432,449,1894,4
300,341,1902,3
684,627,1907,6
328,311,1908,3
101,144,1914,1
899,854,1915,8
647,649,1917,6
405,418,1917,4
405,479,1919,4
444,437,1919,4
201,221,1924,2
763,726,1925,7
626,669,1933,6
503,150,1933,1
487,461,1941,4
191,186,1947,1
147,195,1954,1
476,427,1955,4
626,682,1956,6
452,478,1957,4
201,122,1957,1
451,403,1964,4
201,203,1964,2
503,574,1966,5
649,670,1966,6
449,497,1967,4
107,169,1968,1
101,12,1971,0
626,604,1977,6
221,227,1977,2
341,389,1983,3
619,605,1998,6
341,332,2000,3
221,297,2006,2
507,571,2015,5
107,68,2020,0
879,828,2025,8
438,473,2026,4
451,463,2054,4
604,658,2075,6
203,163,2080,1
403,433,2084,4
649,635,2091,6
854,811,2097,8
195,506,2106,1
459,494,2114,4
604,674,2114,6
828,821,2117,8
227,214,2125,2
437,462,2126,4
203,152,2126,1
122,182,2130,1
828,844,2137,8
427,404,2140,4
311,317,2143,3
433,443,2157,4
478,491,2165,4
669,659,2166,6
389,368,2169,3
479,458,2171,4
604,309,2172,1
227,265,2175,2
427,408,2191,4
462,496,2203,4
195,123,2203,1
844,856,2218,8
658,660,2226,6
404,406,2239,4
443,445,2239,4
811,888,2241,8
309,157,2245,1
491,493,2252,4
433,448,2259,4
658,697,2263,6
309,312,2267,3
506,146,2268,1
123,131,2276,1
152,104,2290,1
443,454,2292,4
462,455,2293,4
406,502,2298,1
658,680,2320,6
317,380,2325,3
265,235,2328,2
406,474,2331,4
312,361,2334,3
506,545,2336,5
404,167,2343,1
888,893,2353,8
454,419,2356,4
888,803,2363,8
454,468,2374,4
502,525,2376,5
361,381,2392,3
419,430,2404,4
545,567,2415,5
803,836,2420,8
893,819,2428,8
803,849,2444,8
381,357,2446,3
455,481,2447,4
455,440,2454,4
430,447,2458,4
454,441,2463,4
104,135,2482,1
893,820,2486,8
502,554,2502,5
441,423,2514,4
167,165,2520,1
447,417,2540,4
849,818,2546,8
849,878,2560,8
165,118,2573,1
567,562,2583,5
381,302,2595,3
118,3,2653,1
562,515,2658,5
878,807,2695,8
302,306,2734,3
306,324,2807,3
807,826,2856,8
826,855,2931,8
306,602,2940,1
324,339,2964,3
855,857,3007,8
826,822,3087,8
602,663,3129,6
663,634,3286,6
634,653,3359,6
