pID,sno,ETA, @U,ETD, >U, @Role, @Mx,Age,FamKey,
9,3,11,2,12,3,R,1.5,,,
9,4,12,3,13,4,R,3,,,
9,5,13,4,14,1,R,1.5,,,
9,6,14,1,15,0,R,0.75,,,
9,7,15,0,16,8,R,1,,,
9,8,16,8,22,8,R,0.5,,,
10,0,0,8,9,5,R,2,,,
10,1,9,5,10,2,R,2,,,
10,2,10,2,11,1,R,2,,,
10,3,11,1,12,3,R,2,,,
10,4,12,3,13,0,R,2,,,
10,5,13,0,14,4,R,2,,,
10,6,14,4,15,1,R,2,,,
10,7,15,1,16,8,R,2,,,
10,8,16,8,22,8,R,2,,,
11,0,0,8,9,5,R,2,,,
11,1,9,5,10,2,R,2,,,
11,2,10,2,11,1,R,2,,,
11,3,11,1,12,3,R,2,,,
11,4,12,3,13,0,R,2,,,
11,5,13,0,14,4,R,2,,,
11,6,14,4,15,1,R,2,,,
11,7,15,1,16,8,R,2,,,
11,8,16,8,22,8,R,2,,,
12,0,0,8,9,5,R,2,,,
12,1,9,5,10,2,R,2,,,
12,2,10,2,11,1,R,2,,,
12,3,11,1,12,3,R,2,,,
12,4,12,3,13,0,R,2,,,
12,5,13,0,14,4,R,2,,,
12,6,14,4,15,1,R,2,,,
12,7,15,1,16,8,R,2,,,
12,8,16,8,22,8,R,2,,,
13,0,0,8,9,5,R,2,,,
13,1,9,5,10,2,R,2,,,
13,2,10,2,11,1,R,2,,,
13,3,11,1,12,3,R,2,,,
13,4,12,3,13,0,R,2,,,
13,5,13,0,14,4,R,2,,,
13,6,14,4,15,1,R,2,,,
13,7,15,1,16,8,R,2,,,
13,8,16,8,22,8,R,2,,,
14,0,0,8,9,5,R,2,,,
14,1,9,5,10,2,R,2,,,
14,2,10,2,11,1,R,2,,,
14,3,11,1,12,3,R,2,,,
14,4,12,3,13,0,R,2,,,
14,5,13,0,14,4,R,2,,,
14,6,14,4,15,1,R,2,,,
14,7,15,1,16,8,R,2,,,
14,8,16,8,22,8,R,2,,,
15,0,0,8,9,5,R,2,,,
15,1,9,5,10,2,R,2,,,
15,2,10,2,11,1,R,2,,,
15,3,11,1,12,3,R,2,,,
15,4,12,3,13,0,R,2,,,
15,5,13,0,14,4,R,2,,,
15,6,14,4,15,1,R,2,,,
15,7,15,1,16,8,R,2,,,
15,8,16,8,22,8,R,2,,,
16,0,0,8,9,5,R,2,,,
16,1,9,5,10,2,R,2,,,
16,2,10,2,11,1,R,2,,,
16,3,11,1,12,3,R,2,,,
16,4,12,3,13,0,R,2,,,
16,5,13,0,14,4,R,2,,,
16,6,14,4,15,1,R,2,,,
16,7,15,1,16,8,R,2,,,
16,8,16,8,22,8,R,2,,,
17,0,0,8,9,5,R,2,,,
17,1,9,5,10,2,R,2,,,
17,2,10,2,11,1,R,2,,,
17,3,11,1,12,3,R,2,,,
17,4,12,3,13,0,R,2,,,
17,5,13,0,14,4,R,2,,,
17,6,14,4,15,1,R,2,,,
17,7,15,1,16,8,R,2,,,
17,8,16,8,22,8,R,2,,,
18,0,0,8,9,5,R,2,,,
18,1,9,5,10,2,R,2,,,
18,2,10,2,11,1,R,2,,,
18,3,11,1,12,3,R,2,,,
18,4,12,3,13,0,R,2,,,
18,5,13,0,14,4,R,2,,,
18,6,14,4,15,1,R,2,,,
18,7,15,1,16,8,R,2,,,
18,8,16,8,22,8,R,2,,,
19,0,0,8,9,5,R,2,,,
19,1,9,5,10,2,R,2,,,
19,2,10,2,11,1,R,2,,,
19,3,11,1,12,3,R,2,,,
19,4,12,3,13,0,R,2,,,
19,5,13,0,14,4,R,2,,,
19,6,14,4,15,1,R,2,,,
19,7,15,1,16,8,R,2,,,
19,8,16,8,22,8,R,2,,,
20,0,0,8,9,0,R,1,,,
20,1,9,0,10,1,R,1,,,
20,2,10,1,11,2,R,1,,,
20,3,11,2,12,0,R,1,,,
20,4,12,0,13,3,R,1,,,
20,5,13,3,14,4,R,1,,,
20,6,14,4,15,5,R,1,,,
20,7,15,5,16,8,R,1,,,
20,8,16,8,22,8,R,1,,,
21,0,0,8,9,0,R,1,,,
21,1,9,0,10,1,R,1,,,
21,2,10,1,11,2,R,1,,,
21,3,11,2,12,0,R,1,,,
21,4,12,0,13,3,R,1,,,
21,5,13,3,14,4,R,1,,,
21,6,14,4,15,5,R,1,,,
21,7,15,5,16,8,R,1,,,
21,8,16,8,22,8,R,1,,,
22,0,0,8,9,0,R,1,,,
22,1,9,0,10,1,R,1,,,
22,2,10,1,11,2,R,1,,,
22,3,11,2,12,0,R,1,,,
22,4,12,0,13,3,R,1,,,
22,5,13,3,14,4,R,1,,,
22,6,14,4,15,5,R,1,,,
22,7,15,5,16,8,R,1,,,
22,8,16,8,22,8,R,1,,,
23,0,0,8,9,0,R,1,,,
23,1,9,0,10,1,R,1,,,
23,2,10,1,11,2,R,1,,,
23,3,11,2,12,0,R,1,,,
23,4,12,0,13,3,R,1,,,
23,5,13,3,14,4,R,1,,,
23,6,14,4,15,5,R,1,,,
23,7,15,5,16,8,R,1,,,
23,8,16,8,22,8,R,1,,,
24,0,0,8,9,0,R,1,,,
24,1,9,0,10,1,R,1,,,
24,2,10,1,11,2,R,1,,,
24,3,11,2,12,0,R,1,,,
24,4,12,0,13,3,R,1,,,
24,5,13,3,14,4,R,1,,,
24,6,14,4,15,5,R,1,,,
24,7,15,5,16,8,R,1,,,
24,8,16,8,22,8,R,1,,,
25,0,0,8,9,0,R,1,,,
25,1,9,0,10,1,R,1,,,
25,2,10,1,11,2,R,1,,,
25,3,11,2,12,0,R,1,,,
25,4,12,0,13,3,R,1,,,
25,5,13,3,14,4,R,1,,,
25,6,14,4,15,5,R,1,,,
25,7,15,5,16,8,R,1,,,
25,8,16,8,22,8,R,1,,,
26,0,0,8,9,0,R,1,,,
26,1,9,0,10,1,R,1,,,
26,2,10,1,11,2,R,1,,,
26,3,11,2,12,0,R,1,,,
26,4,12,0,13,3,R,1,,,
26,5,13,3,14,4,R,1,,,
26,6,14,4,15,5,R,1,,,
26,7,15,5,16,8,R,1,,,
26,8,16,8,22,8,R,1,,,
27,0,0,8,9,0,R,1,,,
27,1,9,0,10,1,R,1,,,
27,2,10,1,11,2,R,1,,,
27,3,11,2,12,0,R,1,,,
27,4,12,0,13,3,R,1,,,
27,5,13,3,14,4,R,1,,,
27,6,14,4,15,5,R,1,,,
27,7,15,5,16,8,R,1,,,
27,8,16,8,22,8,R,1,,,
28,0,0,8,9,0,R,1,,,
28,1,9,0,10,1,R,1,,,
28,2,10,1,11,2,R,1,,,
28,3,11,2,12,0,R,1,,,
28,4,12,0,13,3,R,1,,,
28,5,13,3,14,4,R,1,,,
28,6,14,4,15,5,R,1,,,
28,7,15,5,16,8,R,1,,,
28,8,16,8,22,8,R,1,,,
29,0,0,8,9,0,R,1,,,
29,1,9,0,10,1,R,1,,,
29,2,10,1,11,2,R,1,,,
29,3,11,2,12,0,R,1,,,
29,4,12,0,13,3,R,1,,,
29,5,13,3,14,4,R,1,,,
29,6,14,4,15,5,R,1,,,
29,7,15,5,16,8,R,1,,,
29,8,16,8,22,8,R,1,,,
30,0,0,8,8,6,A,4,,,teacher 0
30,1,8,6,9,1,A,2,,,
30,2,9,1,10,6,A,4,,,
30,3,10,6,11,2,A,2,,,
30,4,11,2,12,3,A,2,,,
30,5,12,3,13,6,A,4,,,
30,6,13,6,14,4,A,2,,,
30,7,14,4,15,0,A,2,,,
30,8,15,0,16,6,A,4,,,
30,9,16,6,17,8,A,3,,,
30,10,17,8,23,8,A,3,,,
31,0,0,8,8,6,A,4,,,teacher 1
31,1,8,6,9,0,A,2,,,
31,2,9,0,10,1,A,2,,,
31,3,10,1,11,6,A,4,,,
31,4,11,6,12,3,A,2,,,
31,5,12,3,13,3,A,2,,,
31,6,13,3,14,6,A,4,,,
31,7,14,6,15,1,A,2,,,
31,8,15,1,16,6,A,4,,,
31,9,16,6,17,8,A,3,,,
31,10,17,8,23,8,A,3,,,
32,0,0,8,8,6,A,4,,,teacher 2
32,1,8,6,9,1,A,2,,,
32,2,9,1,10,0,A,2,,,
32,3,10,0,11,1,A,2,,,
32,4,11,1,12,6,A,4,,,
32,5,12,6,13,3,A,2,,,
32,6,13,3,14,6,A,4,,,
32,7,14,6,15,5,A,2,,,
32,8,15,5,16,6,A,4,,,
32,9,16,6,17,8,A,3,,,
32,10,17,8,23,8,A,3,,,
33,0,0,8,8,6,A,4,,,teacher 3
33,1,8,6,9,6,A,4,,,
33,2,9,6,10,1,A,2,,,
33,3,10,1,11,6,A,4,,,
33,4,11,6,12,0,A,2,,,
33,5,12,0,13,4,A,2,,,
33,6,13,4,14,1,A,2,,,
33,7,14,1,15,6,A,4,,,
33,8,15,6,16,6,A,4,,,
33,9,16,6,17,8,A,3,,,
33,10,17,8,23,8,A,3,,,
34,0,0,8,8,6,A,4,,,teacher 4
34,1,8,6,9,6,A,4,,,
34,2,9,6,10,2,A,2,,,
34,3,10,4,11,1,A,2,,,
34,4,11,1,12,6,A,4,,,
34,5,12,6,13,0,A,2,,,
34,6,13,0,14,4,A,2,,,
34,7,14,4,15,1,A,2,,,
34,8,15,1,16,6,A,4,,,
34,9,16,6,17,8,A,3,,,
34,10,17,8,23,8,A,3,,,
35,0,0,8,8,6,A,4,,,teacher 5
35,1,8,6,9,5,A,2,,,
35,2,9,5,10,2,A,2,,,
35,3,10,2,11,2,A,2,,,
35,4,11,2,12,6,A,4,,,
35,5,12,6,13,4,A,2,,,
35,6,13,4,14,1,A,2,,,
35,7,14,1,15,6,A,4,,,
35,8,15,6,16,6,A,4,,,
35,9,16,6,17,8,A,3,,,
35,10,17,8,23,8,A,3,,,
