pID,sno,ETA, @U,ETD, >U, @Role, @Mx,Age,FamKey
32,0,0,8,7,1,A,3,30,F08
32,1,7,1,15,8,R,1,30,F08
32,2,15,8,0,8,R,1,30,F08
33,0,0,8,0,8,R,1,31,F09
34,0,0,8,0,8,R,1,32,F09
35,0,0,8,0,8,R,1,9,F10
36,0,0,8,0,8,R,1,32,F10
37,0,0,8,0,8,R,1,33,F10
38,0,0,8,0,8,R,1,10,F11
39,0,0,8,0,8,R,1,33,F11
40,0,0,8,0,8,R,1,34,F11
41,0,0,8,0,8,R,1,11,F12
42,0,0,8,0,8,R,1,34,F12
43,0,0,8,0,8,R,1,35,F12
44,0,0,8,0,8,R,1,12,F13
45,0,0,8,0,8,R,1,35,F13
46,0,0,8,0,8,R,1,36,F13
47,0,0,8,7,2,T,1.5,13,F14
47,1,7,2,11,8,R,1,36,F14
47,2,11,8,0,8,R,1,36,F14
48,0,0,8,0,8,R,1,36,F14
49,0,0,8,0,8,R,1,37,F14
50,0,0,8,7,2,T,1.5,13,F14
50,1,7,2,11,8,R,1,36,F14
50,2,11,8,0,8,R,1,36,F14
51,0,0,8,0,8,R,1,37,F15
52,0,0,8,0,8,R,1,38,F15
53,0,0,8,0,8,R,1,15,F16
54,0,0,8,7,2,R,1,39,F17
54,1,7,2,17,8,A,3,39,F17
54,2,17,8,0,8,R,1,39,F17
55,0,0,8,0,8,R,1,39,F16
56,0,0,8,0,8,R,1,16,F17
57,0,0,8,7,2,R,1,39,F17
57,1,7,2,17,8,A,3,39,F17
57,2,17,8,0,8,R,1,39,F17
58,0,0,8,0,8,R,1,40,F17
59,0,0,8,0,8,R,1,3,F18
60,0,0,8,0,8,R,1,23,F18
61,0,0,8,0,8,R,1,24,F18
62,0,0,8,0,8,R,1,4,F19
63,0,0,8,0,8,R,1,24,F19
64,0,0,8,0,8,R,1,25,F19
65,0,0,8,0,8,R,1,25,F20
66,0,0,8,0,8,R,1,25,F21
67,0,0,8,0,8,R,1,25,F22
68,0,0,8,0,8,R,1,25,F23
69,0,0,8,0,8,R,1,25,F24
70,0,0,1,0,1,R,1,75,
71,0,0,1,0,1,R,1,75,
72,0,0,1,0,1,R,1,75,
73,0,0,1,0,1,R,1,75,
74,0,0,1,0,1,R,1,75,
75,0,0,1,0,1,R,1,75,
76,0,0,1,0,1,R,1,75,
77,0,0,1,0,1,R,1,75,
78,0,0,1,0,1,R,1,75,
79,0,0,1,0,1,R,1,75,
80,0,0,1,0,1,R,1,75,
81,0,0,1,0,1,R,1,75,
82,0,0,1,0,1,R,1,75,
83,0,0,1,0,1,R,1,75,
84,0,0,1,0,1,R,1,75,
85,0,0,1,0,1,R,1,75,
86,0,0,1,0,1,R,1,75,
87,0,0,1,0,1,R,1,75,
88,0,0,1,0,1,R,1,75,
89,0,0,1,0,1,R,1,75,
90,0,0,1,0,1,R,1,75,
91,0,0,1,0,1,R,1,75,
92,0,0,1,0,1,R,1,75,
93,0,0,1,0,1,R,1,75,
94,0,0,1,0,1,R,1,75,
95,0,0,1,0,1,R,1,75,
96,0,0,1,0,1,R,1,75,
97,0,0,1,0,1,R,1,75,
98,0,0,1,0,1,R,1,75,
99,0,0,1,0,1,R,1,75,
100,0,0,1,0,1,R,1,75,
101,0,0,1,0,1,R,1,75,
102,0,0,1,0,1,R,1,75,
103,0,0,1,0,1,R,1,75,
104,0,0,1,0,1,R,1,75,
105,0,0,1,0,1,R,1,75,
106,0,0,1,0,1,R,1,75,
107,0,0,1,0,1,R,1,75,
108,0,0,1,0,1,R,1,75,
109,0,0,1,0,1,R,1,75,
110,0,0,1,0,1,R,1,75,
111,0,0,1,0,1,R,1,75,
112,0,0,1,0,1,R,1,75,
113,0,0,1,0,1,R,1,75,
114,0,0,1,0,1,R,1,75,
115,0,0,1,0,1,R,1,75,
116,0,0,1,0,1,R,1,75,
117,0,0,1,0,1,R,1,75,
118,0,0,1,0,1,R,1,75,
119,0,0,1,0,1,R,1,75,
120,0,1200,2,1223,7,T,1.5,54,
120,1,1300,7,1400,7,R,0.2,54,
121,0,1200,2,1223,7,T,1.5,54,
121,1,1300,7,1400,7,R,0.3,55,
122,0,1200,2,1223,7,T,1.5,54,
122,1,1300,7,1400,7,R,0.4,56,
123,0,1200,2,1223,7,T,1.5,54,
123,1,1300,7,1400,7,R,0.5,57,
124,0,1200,2,1223,7,T,1.5,54,
124,1,1300,7,1400,7,R,0.6,58,
125,0,1200,2,1223,7,T,1.5,54,
125,1,1300,7,1400,7,R,0.7,59,
126,0,1200,2,1223,7,T,1.5,54,
126,1,1300,7,1400,7,R,0.8,60,
127,0,1200,2,1223,7,T,1.5,54,
127,1,1300,7,1400,7,R,0.9,61,
128,0,1200,2,1223,7,T,1.5,54,
128,1,1300,7,1400,7,R,0.1,62,
129,0,1200,2,1223,7,T,1.5,54,
129,1,1300,7,1400,7,R,0.11,63,
130,0,1200,2,1223,7,T,1.5,54,
130,1,1300,7,1400,7,R,0.12,64,
131,0,1200,2,1223,7,T,1.5,54,
131,1,1300,7,1400,7,R,0.13,65,
132,0,1200,2,1223,7,T,1.5,54,
132,1,1300,7,1400,7,R,0.14,66,
133,0,1200,2,1223,7,T,1.5,54,
133,1,1300,7,1400,7,R,0.15,67,
134,0,1200,2,1223,7,T,1.5,54,
134,1,1300,7,1400,7,R,0.16,68,
135,0,1200,2,1223,7,T,1.5,54,
135,1,1300,7,1400,7,R,0.17,69,
136,0,1200,2,1223,7,T,1.5,54,
136,1,1300,7,1400,7,R,0.18,70,
137,0,1200,2,1223,7,T,1.5,54,
137,1,1300,7,1400,7,R,0.19,71,
138,0,1200,2,1223,7,T,1.5,54,
138,1,1300,7,1400,7,R,0.2,72,
139,0,1200,2,1223,7,T,1.5,54,
139,1,1300,7,1400,7,R,0.21,73,
140,0,1200,2,1223,7,T,1.5,54,
140,1,1300,7,1400,7,R,0.22,74,
141,0,1200,2,1223,7,T,1.5,54,
141,1,1300,7,1400,7,R,0.23,75,
142,0,1200,2,1223,7,T,1.5,54,
142,1,1300,7,1400,7,R,0.24,76,
143,0,1200,2,1223,7,T,1.5,54,
143,1,1300,7,1400,7,R,0.25,77,
144,0,1200,2,1223,7,T,1.5,54,
144,1,1300,7,1400,7,R,0.26,78,
145,0,1200,2,1223,7,T,1.5,54,
145,1,1300,7,1400,7,R,0.27,79,
146,0,1200,2,1223,7,T,1.5,54,
146,1,1300,7,1400,7,R,0.28,80,
147,0,1200,2,1223,7,T,1.5,54,
147,1,1300,7,1400,7,R,0.29,81,
148,0,1200,2,1223,7,T,1.5,54,
148,1,1300,7,1400,7,R,0.3,82,
149,0,1200,2,1223,7,T,1.5,54,
149,1,1300,7,1400,7,R,0.31,83,
150,0,1200,2,1223,7,T,1.5,54,
150,1,1300,7,1400,7,R,0.32,84,
151,0,1200,2,1223,7,T,1.5,54,
151,1,1300,7,1400,7,R,0.33,85,
152,0,1200,2,1223,7,T,1.5,54,
152,1,1300,7,1400,7,R,0.34,86,
153,0,1200,2,1223,7,T,1.5,54,
153,1,1300,7,1400,7,R,0.35,87,
154,0,1200,2,1223,7,T,1.5,54,
154,1,1300,7,1400,7,R,0.36,88,
155,0,1200,2,1223,7,T,1.5,54,
155,1,1300,7,1400,7,R,0.37,89,
156,0,1200,2,1223,7,T,1.5,54,
156,1,1300,7,1400,7,R,0.38,90,
157,0,1200,2,1223,7,T,1.5,54,
157,1,1300,7,1400,7,R,0.39,91,
158,0,1200,2,1223,7,T,1.5,54,
158,1,1300,7,1400,7,R,0.4,92,
159,0,1200,2,1223,7,T,1.5,54,
159,1,1300,7,1400,7,R,0.41,93,
160,0,1200,2,1223,7,T,1.5,54,
160,1,1300,7,1400,7,R,0.42,94,
161,0,1200,2,1223,7,T,1.5,54,
161,1,1300,7,1400,7,R,0.43,95,
162,0,1200,2,1223,7,T,1.5,54,
162,1,1300,7,1400,7,R,0.44,96,
163,0,1200,2,1223,7,T,1.5,54,
163,1,1300,7,1400,7,R,0.45,97,
164,0,1200,2,1223,7,T,1.5,54,
164,1,1300,7,1400,7,R,0.46,98,
165,0,1200,2,1223,7,T,1.5,54,
165,1,1300,7,1400,7,R,0.47,99,
166,0,1200,2,1223,7,T,1.5,54,
166,1,1300,7,1400,7,R,0.48,100,
167,0,1200,2,1223,7,T,1.5,54,
167,1,1300,7,1400,7,R,0.49,101,
168,0,1200,2,1223,7,T,1.5,54,
168,1,1300,7,1400,7,R,0.5,102,
169,0,1200,2,1223,7,T,1.5,54,
169,1,1300,7,1400,7,R,0.51,103,
170,0,1300,2,1323,7,T,1.5,54,
170,1,1400,7,1500,7,R,0.2,54,
171,0,1300,2,1323,7,T,1.5,54,
171,1,1400,7,1500,7,R,0.3,55,
172,0,1300,2,1323,7,T,1.5,54,
172,1,1400,7,1500,7,R,0.4,56,
173,0,1300,2,1323,7,T,1.5,54,
173,1,1400,7,1500,7,R,0.5,57,
174,0,1300,2,1323,7,T,1.5,54,
174,1,1400,7,1500,7,R,0.6,58,
175,0,1300,2,1323,7,T,1.5,54,
175,1,1400,7,1500,7,R,0.7,59,
176,0,1300,2,1323,7,T,1.5,54,
176,1,1400,7,1500,7,R,0.8,60,
177,0,1300,2,1323,7,T,1.5,54,
177,1,1400,7,1500,7,R,0.9,61,
178,0,1300,2,1323,7,T,1.5,54,
178,1,1400,7,1500,7,R,0.1,62,
179,0,1300,2,1323,7,T,1.5,54,
179,1,1400,7,1500,7,R,0.11,63,
180,0,1300,2,1323,7,T,1.5,54,
180,1,1400,7,1500,7,R,0.12,64,
181,0,1300,2,1323,7,T,1.5,54,
181,1,1400,7,1500,7,R,0.13,65,
182,0,1300,2,1323,7,T,1.5,54,
182,1,1400,7,1500,7,R,0.14,66,
183,0,1300,2,1323,7,T,1.5,54,
183,1,1400,7,1500,7,R,0.15,67,
184,0,1300,2,1323,7,T,1.5,54,
184,1,1400,7,1500,7,R,0.16,68,
185,0,1300,2,1323,7,T,1.5,54,
185,1,1400,7,1500,7,R,0.17,69,
186,0,1300,2,1323,7,T,1.5,54,
186,1,1400,7,1500,7,R,0.18,70,
187,0,1300,2,1323,7,T,1.5,54,
187,1,1400,7,1500,7,R,0.19,71,
188,0,1300,2,1323,7,T,1.5,54,
188,1,1400,7,1500,7,R,0.2,72,
189,0,1300,2,1323,7,T,1.5,54,
189,1,1400,7,1500,7,R,0.21,73,
190,0,1300,2,1323,7,T,1.5,54,
190,1,1400,7,1500,7,R,0.22,74,
191,0,1300,2,1323,7,T,1.5,54,
191,1,1400,7,1500,7,R,0.23,75,
192,0,1300,2,1323,7,T,1.5,54,
192,1,1400,7,1500,7,R,0.24,76,
193,0,1300,2,1323,7,T,1.5,54,
193,1,1400,7,1500,7,R,0.25,77,
194,0,1300,2,1323,7,T,1.5,54,
194,1,1400,7,1500,7,R,0.26,78,
195,0,1300,2,1323,7,T,1.5,54,
195,1,1400,7,1500,7,R,0.27,79,
196,0,1300,2,1323,7,T,1.5,54,
196,1,1400,7,1500,7,R,0.28,80,
197,0,1300,2,1323,7,T,1.5,54,
197,1,1400,7,1500,7,R,0.29,81,
198,0,1300,2,1323,7,T,1.5,54,
198,1,1400,7,1500,7,R,0.3,82,
199,0,1300,2,1323,7,T,1.5,54,
199,1,1400,7,1500,7,R,0.31,83,
200,0,1300,2,1323,7,T,1.5,54,
200,1,1400,7,1500,7,R,0.32,84,
201,0,1300,2,1323,7,T,1.5,54,
201,1,1400,7,1500,7,R,0.33,85,
202,0,1300,2,1323,7,T,1.5,54,
202,1,1400,7,1500,7,R,0.34,86,
203,0,1300,2,1323,7,T,1.5,54,
203,1,1400,7,1500,7,R,0.35,87,
204,0,1300,2,1323,7,T,1.5,54,
204,1,1400,7,1500,7,R,0.36,88,
205,0,1300,2,1323,7,T,1.5,54,
205,1,1400,7,1500,7,R,0.37,89,
206,0,1300,2,1323,7,T,1.5,54,
206,1,1400,7,1500,7,R,0.38,90,
207,0,1300,2,1323,7,T,1.5,54,
207,1,1400,7,1500,7,R,0.39,91,
208,0,1300,2,1323,7,T,1.5,54,
208,1,1400,7,1500,7,R,0.4,92,
209,0,1300,2,1323,7,T,1.5,54,
209,1,1400,7,1500,7,R,0.41,93,
210,0,1300,2,1323,7,T,1.5,54,
210,1,1400,7,1500,7,R,0.42,94,
211,0,1300,2,1323,7,T,1.5,54,
211,1,1400,7,1500,7,R,0.43,95,
212,0,1300,2,1323,7,T,1.5,54,
212,1,1400,7,1500,7,R,0.44,96,
213,0,1300,2,1323,7,T,1.5,54,
213,1,1400,7,1500,7,R,0.45,97,
214,0,1300,2,1323,7,T,1.5,54,
214,1,1400,7,1500,7,R,0.46,98,
215,0,1300,2,1323,7,T,1.5,54,
215,1,1400,7,1500,7,R,0.47,99,
216,0,1300,2,1323,7,T,1.5,54,
216,1,1400,7,1500,7,R,0.48,100,
217,0,1300,2,1323,7,T,1.5,54,
217,1,1400,7,1500,7,R,0.49,101,
218,0,1300,2,1323,7,T,1.5,54,
218,1,1400,7,1500,7,R,0.5,102,
219,0,1300,2,1323,7,T,1.5,54,
219,1,1400,7,1500,7,R,0.51,103,
220,0,1400,2,1423,7,T,1.5,54,
220,1,1500,7,1600,7,R,0.2,54,
221,0,1400,2,1423,7,T,1.5,54,
221,1,1500,7,1600,7,R,0.2,55,
222,0,1400,2,1423,7,T,1.5,54,
222,1,1500,7,1600,7,R,0.2,56,
223,0,1400,2,1423,7,T,1.5,54,
223,1,1500,7,1600,7,R,0.2,57,
224,0,1400,2,1423,7,T,1.5,54,
224,1,1500,7,1600,7,R,0.2,58,
225,0,1400,2,1423,7,T,1.5,54,
225,1,1500,7,1600,7,R,0.2,59,
226,0,1400,2,1423,7,T,1.5,54,
226,1,1500,7,1600,7,R,0.2,60,
227,0,1400,2,1423,7,T,1.5,54,
227,1,1500,7,1600,7,R,0.2,61,
228,0,1400,2,1423,7,T,1.5,54,
228,1,1500,7,1600,7,R,0.2,62,
229,0,1400,2,1423,7,T,1.5,54,
229,1,1500,7,1600,7,R,0.2,63,
230,0,1400,2,1423,7,T,1.5,54,
230,1,1500,7,1600,7,R,0.2,64,
231,0,1400,2,1423,7,T,1.5,54,
231,1,1500,7,1600,7,R,0.2,65,
232,0,1400,2,1423,7,T,1.5,54,
232,1,1500,7,1600,7,R,0.2,66,
233,0,1400,2,1423,7,T,1.5,54,
233,1,1500,7,1600,7,R,0.2,67,
234,0,1400,2,1423,7,T,1.5,54,
234,1,1500,7,1600,7,R,0.2,68,
235,0,1400,2,1423,7,T,1.5,54,
235,1,1500,7,1600,7,R,0.2,69,
236,0,1400,2,1423,7,T,1.5,54,
236,1,1500,7,1600,7,R,0.2,70,
237,0,1400,2,1423,7,T,1.5,54,
237,1,1500,7,1600,7,R,0.2,71,
238,0,1400,2,1423,7,T,1.5,54,
238,1,1500,7,1600,7,R,0.2,72,
239,0,1400,2,1423,7,T,1.5,54,
239,1,1500,7,1600,7,R,0.2,73,
240,0,1400,2,1423,7,T,1.5,54,
240,1,1500,7,1600,7,R,0.2,74,
241,0,1400,2,1423,7,T,1.5,54,
241,1,1500,7,1600,7,R,0.2,75,
242,0,1400,2,1423,7,T,1.5,54,
242,1,1500,7,1600,7,R,0.2,76,
243,0,1400,2,1423,7,T,1.5,54,
243,1,1500,7,1600,7,R,0.2,77,
244,0,1400,2,1423,7,T,1.5,54,
244,1,1500,7,1600,7,R,0.2,78,
245,0,1400,2,1423,7,T,1.5,54,
245,1,1500,7,1600,7,R,0.2,79,
246,0,1400,2,1423,7,T,1.5,54,
246,1,1500,7,1600,7,R,0.2,80,
247,0,1400,2,1423,7,T,1.5,54,
247,1,1500,7,1600,7,R,0.2,81,
248,0,1400,2,1423,7,T,1.5,54,
248,1,1500,7,1600,7,R,0.2,82,
249,0,1400,2,1423,7,T,1.5,54,
249,1,1500,7,1600,7,R,0.2,83,
250,0,1400,2,1423,7,T,1.5,54,
250,1,1500,7,1600,7,R,0.2,84,
251,0,1400,2,1423,7,T,1.5,54,
251,1,1500,7,1600,7,R,0.2,85,
252,0,1400,2,1423,7,T,1.5,54,
252,1,1500,7,1600,7,R,0.2,86,
253,0,1400,2,1423,7,T,1.5,54,
253,1,1500,7,1600,7,R,0.2,87,
254,0,1400,2,1423,7,T,1.5,54,
254,1,1500,7,1600,7,R,0.2,88,
255,0,1400,2,1423,7,T,1.5,54,
255,1,1500,7,1600,7,R,0.2,89,
256,0,1400,2,1423,7,T,1.5,54,
256,1,1500,7,1600,7,R,0.2,90,
257,0,1400,2,1423,7,T,1.5,54,
257,1,1500,7,1600,7,R,0.2,91,
258,0,1400,2,1423,7,T,1.5,54,
258,1,1500,7,1600,7,R,0.2,92,
259,0,1400,2,1423,7,T,1.5,54,
259,1,1500,7,1600,7,R,0.2,93,
260,0,1400,2,1423,7,T,1.5,54,
260,1,1500,7,1600,7,R,0.2,94,
261,0,1400,2,1423,7,T,1.5,54,
261,1,1500,7,1600,7,R,0.2,95,
262,0,1400,2,1423,7,T,1.5,54,
262,1,1500,7,1600,7,R,0.2,96,
263,0,1400,2,1423,7,T,1.5,54,
263,1,1500,7,1600,7,R,0.2,97,
264,0,1400,2,1423,7,T,1.5,54,
264,1,1500,7,1600,7,R,0.2,98,
265,0,1400,2,1423,7,T,1.5,54,
265,1,1500,7,1600,7,R,0.2,99,
266,0,1400,2,1423,7,T,1.5,54,
266,1,1500,7,1600,7,R,0.2,100,
267,0,1400,2,1423,7,T,1.5,54,
267,1,1500,7,1600,7,R,0.2,101,
268,0,1400,2,1423,7,T,1.5,54,
268,1,1500,7,1600,7,R,0.2,102,
269,0,1400,2,1423,7,T,1.5,54,
269,1,1500,7,1600,7,R,0.2,103,
270,0,1500,2,1523,7,T,1.5,54,
270,1,1600,7,1700,7,R,0.2,54,
271,0,1500,2,1523,7,T,1.5,54,
271,1,1600,7,1700,7,R,0.2,55,
272,0,1500,2,1523,7,T,1.5,54,
272,1,1600,7,1700,7,R,0.2,56,
273,0,1500,2,1523,7,T,1.5,54,
273,1,1600,7,1700,7,R,0.2,57,
274,0,1500,2,1523,7,T,1.5,54,
274,1,1600,7,1700,7,R,0.2,58,
275,0,1500,2,1523,7,T,1.5,54,
275,1,1600,7,1700,7,R,0.2,59,
276,0,1500,2,1523,7,T,1.5,54,
276,1,1600,7,1700,7,R,0.2,60,
277,0,1500,2,1523,7,T,1.5,54,
277,1,1600,7,1700,7,R,0.2,61,
278,0,1500,2,1523,7,T,1.5,54,
278,1,1600,7,1700,7,R,0.2,62,
279,0,1500,2,1523,7,T,1.5,54,
279,1,1600,7,1700,7,R,0.2,63,
280,0,1500,2,1523,7,T,1.5,54,
280,1,1600,7,1700,7,R,0.2,64,
281,0,1500,2,1523,7,T,1.5,54,
281,1,1600,7,1700,7,R,0.2,65,
282,0,1500,2,1523,7,T,1.5,54,
282,1,1600,7,1700,7,R,0.2,66,
283,0,1500,2,1523,7,T,1.5,54,
283,1,1600,7,1700,7,R,0.2,67,
284,0,1500,2,1523,7,T,1.5,54,
284,1,1600,7,1700,7,R,0.2,68,
285,0,1500,2,1523,7,T,1.5,54,
285,1,1600,7,1700,7,R,0.2,69,
286,0,1500,2,1523,7,T,1.5,54,
286,1,1600,7,1700,7,R,0.2,70,
287,0,1500,2,1523,7,T,1.5,54,
287,1,1600,7,1700,7,R,0.2,71,
288,0,1500,2,1523,7,T,1.5,54,
288,1,1600,7,1700,7,R,0.2,72,
289,0,1500,2,1523,7,T,1.5,54,
289,1,1600,7,1700,7,R,0.2,73,
290,0,1500,2,1523,7,T,1.5,54,
290,1,1600,7,1700,7,R,0.2,74,
291,0,1500,2,1523,7,T,1.5,54,
291,1,1600,7,1700,7,R,0.2,75,
292,0,1500,2,1523,7,T,1.5,54,
292,1,1600,7,1700,7,R,0.2,76,
293,0,1500,2,1523,7,T,1.5,54,
293,1,1600,7,1700,7,R,0.2,77,
294,0,1500,2,1523,7,T,1.5,54,
294,1,1600,7,1700,7,R,0.2,78,
295,0,1500,2,1523,7,T,1.5,54,
295,1,1600,7,1700,7,R,0.2,79,
296,0,1500,2,1523,7,T,1.5,54,
296,1,1600,7,1700,7,R,0.2,80,
297,0,1500,2,1523,7,T,1.5,54,
297,1,1600,7,1700,7,R,0.2,81,
298,0,1500,2,1523,7,T,1.5,54,
298,1,1600,7,1700,7,R,0.2,82,
299,0,1500,2,1523,7,T,1.5,54,
299,1,1600,7,1700,7,R,0.2,83,
300,0,1500,2,1523,7,T,1.5,54,
300,1,1600,7,1700,7,R,0.2,84,
301,0,1500,2,1523,7,T,1.5,54,
301,1,1600,7,1700,7,R,0.2,85,
302,0,1500,2,1523,7,T,1.5,54,
302,1,1600,7,1700,7,R,0.2,86,
303,0,1500,2,1523,7,T,1.5,54,
303,1,1600,7,1700,7,R,0.2,87,
304,0,1500,2,1523,7,T,1.5,54,
304,1,1600,7,1700,7,R,0.2,88,
305,0,1500,2,1523,7,T,1.5,54,
305,1,1600,7,1700,7,R,0.2,89,
306,0,1500,2,1523,7,T,1.5,54,
306,1,1600,7,1700,7,R,0.2,90,
307,0,1500,2,1523,7,T,1.5,54,
307,1,1600,7,1700,7,R,0.2,91,
308,0,1500,2,1523,7,T,1.5,54,
308,1,1600,7,1700,7,R,0.2,92,
309,0,1500,2,1523,7,T,1.5,54,
309,1,1600,7,1700,7,R,0.2,93,
310,0,1500,2,1523,7,T,1.5,54,
310,1,1600,7,1700,7,R,0.2,94,
311,0,1500,2,1523,7,T,1.5,54,
311,1,1600,7,1700,7,R,0.2,95,
312,0,1500,2,1523,7,T,1.5,54,
312,1,1600,7,1700,7,R,0.2,96,
313,0,1500,2,1523,7,T,1.5,54,
313,1,1600,7,1700,7,R,0.2,97,
314,0,1500,2,1523,7,T,1.5,54,
314,1,1600,7,1700,7,R,0.2,98,
315,0,1500,2,1523,7,T,1.5,54,
315,1,1600,7,1700,7,R,0.2,99,
316,0,1500,2,1523,7,T,1.5,54,
316,1,1600,7,1700,7,R,0.2,100,
317,0,1500,2,1523,7,T,1.5,54,
317,1,1600,7,1700,7,R,0.2,101,
318,0,1500,2,1523,7,T,1.5,54,
318,1,1600,7,1700,7,R,0.2,102,
319,0,1500,2,1523,7,T,1.5,54,
319,1,1600,7,1700,7,R,0.2,103,
320,0,1600,2,1623,7,T,1.5,54,
320,1,1700,7,1800,7,R,0.2,54,
321,0,1600,2,1623,7,T,1.5,54,
321,1,1700,7,1800,7,R,0.2,55,
322,0,1600,2,1623,7,T,1.5,54,
322,1,1700,7,1800,7,R,0.2,56,
323,0,1600,2,1623,7,T,1.5,54,
323,1,1700,7,1800,7,R,0.2,57,
324,0,1600,2,1623,7,T,1.5,54,
324,1,1700,7,1800,7,R,0.2,58,
325,0,1600,2,1623,7,T,1.5,54,
325,1,1700,7,1800,7,R,0.2,59,
326,0,1600,2,1623,7,T,1.5,54,
326,1,1700,7,1800,7,R,0.2,60,
327,0,1600,2,1623,7,T,1.5,54,
327,1,1700,7,1800,7,R,0.2,61,
328,0,1600,2,1623,7,T,1.5,54,
328,1,1700,7,1800,7,R,0.2,62,
329,0,1600,2,1623,7,T,1.5,54,
329,1,1700,7,1800,7,R,0.2,63,
330,0,1600,2,1623,7,T,1.5,54,
330,1,1700,7,1800,7,R,0.2,64,
331,0,1600,2,1623,7,T,1.5,54,
331,1,1700,7,1800,7,R,0.2,65,
332,0,1600,2,1623,7,T,1.5,54,
332,1,1700,7,1800,7,R,0.2,66,
333,0,1600,2,1623,7,T,1.5,54,
333,1,1700,7,1800,7,R,0.2,67,
334,0,1600,2,1623,7,T,1.5,54,
334,1,1700,7,1800,7,R,0.2,68,
335,0,1600,2,1623,7,T,1.5,54,
335,1,1700,7,1800,7,R,0.2,69,
336,0,1600,2,1623,7,T,1.5,54,
336,1,1700,7,1800,7,R,0.2,70,
337,0,1600,2,1623,7,T,1.5,54,
337,1,1700,7,1800,7,R,0.2,71,
338,0,1600,2,1623,7,T,1.5,54,
338,1,1700,7,1800,7,R,0.2,72,
339,0,1600,2,1623,7,T,1.5,54,
339,1,1700,7,1800,7,R,0.2,73,
340,0,1600,2,1623,7,T,1.5,54,
340,1,1700,7,1800,7,R,0.2,74,
341,0,1600,2,1623,7,T,1.5,54,
341,1,1700,7,1800,7,R,0.2,75,
342,0,1600,2,1623,7,T,1.5,54,
342,1,1700,7,1800,7,R,0.2,76,
343,0,1600,2,1623,7,T,1.5,54,
343,1,1700,7,1800,7,R,0.2,77,
