Biter,start150,gen
965,780,655
966,747,754
967,124,375
967,46,376
967,284,433
967,56,447
967,682,471
969,32,700
972,657,176
972,390,178
972,920,189
972,226,191
972,724,210
972,632,240
973,754,492
977,965,447
978,5,415
979,416,636
979,198,699
980,4,569
982,346,622
984,138,469
986,103,486
987,865,526
987,952,566
987,350,605
988,506,515
988,125,569
989,58,451
989,277,471
991,895,460
991,671,482
991,917,559
993,966,677
994,689,461
994,866,478
997,115,409
997,442,438
997,372,470
997,958,533
998,317,627
999,322,612
999,412,625
